Barcode Number,Line Item,Part Description,Part Number,Qty / Shipment,Distributor
40000yyy001x,1,M6-1x10MM SBHC A2 SS SILVER PLATED,,156,Force Fasteners International
40000yyy002x,2,CABLE CONTAINMENT BRACKET,SPPD-03-011,8,Van Cafe 
40000yyy003x,3,M5 X 52MM THREADED HEX STANDOFF VENTED,SPPD-03-012,20,
40000yyy004x,4,M5X8MM SILVER PLATED SHCS,SCM-A2-05-008,40,
40000yyy005x,5,M5 STAINLESS STEEL NORD-LOCK WASHER LARGE OD,NL5SPSS,56,
40000yyy006x,6,M6X10MM BHCS SP,92095A224,4,
40000yyy007x,7,M6 SCHNORR LOCK WASHER,B-SCHNORRM6,8,
40000yyy008x,8,M5X12MM SILVER PLATED SHCS,SCM-A2-05-012,16,
40000yyy009x,9,TEFLON WIRE GUIDE R1,SPPD-03-013,8,
40000yyy010x,10,UPPER CABLES,,20,
40000yyy011x,11,PASSTHROUGH CABLE,,20,
40000yyy012x,12,PD GUIDE RAIL - FAR SIDE,SPPD-03-002,40,
40000yyy013x,13,STAINLESS STEEL PD MOUNT ANGLE,SPPD-03-001,80,
40000yyy014x,14,M3X10MM SILVER PLATED FSHCS,823008,160,
40000yyy015x,15,M3 STAINLESS STEEL NORD-LOCK WASHER,NL3SS,160,
40000yyy016x,16,M3 STAINLESS STEEL HEX NUT,HNMA2-03,160,
40000yyy017x,17,M5X10MM SHCS SP,549050,160,
40000yyy018x,18,M5 STAINLESS STEEL NORD-LOCK WASHER LARGE OD,NL5SPSS,160,
40000yyy019x,19,PD GUIDE RAIL - READOUT SIDE,SPPD-03-007,40,
40000yyy020x,20,STAINLESS PD MOUNT ANGLE,SPPD-03-001,80,
40000yyy021x,21,M3X10MM SILVER PLATED FSHCS,823008,160,
40000yyy022x,22,M3 STAINLESS STEEL NORD-LOCK WASHER,NL3SS,160,
40000yyy023x,23,M3 STAINLESS STEEL HEX NUT,HNMA2-03,160,
40000yyy024x,24,M5X16MM SILVER PLATED SHCS,SCM-A2-05-016,200,
40000yyy025x,25,M5 STAINLESS STEEL NORD-LOCK WASHER LARGE OD,NL5SPSS,200,
40000yyy026x,26,SASEBO BOARD,SPPD-03-005,20,
40000yyy027x,27,G10 MOUNT PLATE,SPPD-03-004,20,
40000yyy028x,28,SS MOUNT PLATE,SPPD-03-003,20,
40000yyy029x,29,M6X10MM SILVER PLATED FSHCS,92125A234,20,
40000yyy030x,30,CABLE HOUSING SHIM,SPPD-03-017,20,
40000yyy031x,31,CABLE HOUSING CONSTRAINT,SPPD-03-016,20,
40000yyy032x,32,CABLE STRESS RELIEF YOKE,SPPD-03-015,19,
40000yyy033x,33,CABLE STRESS RELIEF YOKE TEMP SENSOR CONFIG,SPPD-03-015,1,
40000yyy034x,34,M5X22MM SS BHSCS ,92095A482,80,
40000yyy035x,35,M5 SCHNORR-LOCK WASHERS ,90898A027,80,
40000yyy036x,36,PLT1M-C76 CABLE TIE AQUA BLUE TEFZEL,,296,
40000yyy037x,37,PLT2S-C76 CABLE TIE AQUA BLUE TEFZEL,,156,
40000yyy038x,38,417900 M6 6mm SS SAFETY WSHR (ALTERNATE: BELMETRIC WSH6SS),,156,
40000yyy039x,39,M6-1x10MM SBHC A2 SS SILVER PLATED,,80,
40000yyy040x,40,SS BULKHEAD PLATE,SPPD-03-008,4,
40000yyy041x,41,CABLE BULKHEAD ASSEMBLY,SPPD-03-014,4,
40000yyy042x,42,M4 X 45MM THREADED HEX STANDOFF VENTED,SPPD-03-010,12,
40000yyy043x,43,M4X12MM SILVER PLATED SHCS,SCM-A2-04-012,24,
40000yyy044x,44,M4 STAINLESS STEEL NORD-LOCK WASHER LARGE OD ,NL4SPSS,24,
40000yyy045x,45,M5X12MM SILVER PLATED SHCS,SCM-A2-05-012,16,
40000yyy046x,46,M5 STAINLESS STEEL NORD-LOCK WASHER LARGE OD,NL5SPSS,16,
40000yyy047x,47,PD GUIDE RAIL - FAR SIDE,SPPD-03-002,40,
40000yyy048x,48,STAINLESS PD MOUNT ANGLE,SPPD-03-001,80,
40000yyy049x,49,M3X10MM SILVER PLATED FSHCS,823008,160,
40000yyy050x,50,M3 STAINLESS STEEL NORD-LOCK WASHER,NL3SS,160,
